symbol,n_common_dates,ic_H1,n_H1,meanmove_H1,ic_H4,n_H4,meanmove_H4,ic_D1,n_D1,meanmove_D1
1000BONKUSDT,139,0.39631500697649114,2747,213.63486437479168,0.3287395900796961,690,441.07975444919504,0.2205775733697848,139,1162.4807229096755
1000LUNCUSDT,167,0.3130471388927603,2916,93.66987104554804,0.2959328950768803,730,191.9993610736262,0.12564423153108928,167,415.728367614014
1000PEPEUSDT,165,0.28984824207544285,3959,82.02657566783662,0.23565875514317464,990,160.9428953357779,0.01834477599978629,165,419.71618725434763
ADAUSDT,284,0.3336801425364316,6720,47.95085706954909,0.29345283945627365,1686,96.50311201996212,0.18915778472209488,284,238.44932476523599
AVAXUSDT,271,0.3208887489564586,6098,56.82566357191875,0.2990913801791771,1541,115.6802271327468,0.1960808431613728,271,296.05170512232735
BLURUSDT,211,0.24582554642735563,4382,95.711767135466,0.23755771442828647,1105,193.56481982382905,0.22067934747895404,211,466.79954007001754
BNBUSDT,265,0.30373105646765475,5920,33.37779010214455,0.25498581055320246,1511,65.44078080415149,0.08213159897974318,265,154.8789402593275
BTCUSDT,289,0.30565480385902116,6936,26.54482376735809,0.173798231788804,1734,54.25343240395038,0.10299437219106711,289,150.537148147426
DOGEUSDT,286,0.3473675430962709,6797,45.32362444498981,0.32264667859400264,1704,91.17663197127442,0.19517635062964805,286,226.30640959424022
DYDXUSDT,264,0.28280462200957057,5827,76.45594307613543,0.27897848123195174,1490,146.24357827778888,0.20417142223584575,264,374.4233958895
ETHUSDT,288,0.25948167811033596,6908,28.973275349640637,0.22510342722796628,1728,59.84042775622397,0.1642478368678892,288,164.86356729099128
GALAUSDT,286,0.29652369566765774,6707,67.88171517093191,0.2549472410548828,1689,136.28817567097894,0.1764281931162547,286,360.1999261148877
INJUSDT,286,0.3206596582083566,6794,80.2933105735997,0.3577959264201324,1703,159.30996486202162,0.3154778469284246,286,404.7538990736096
LINKUSDT,285,0.30047368500156707,6716,52.926691939785776,0.24852097953458643,1693,104.57582780526982,0.12157569730177044,285,286.5629559163932
MATICUSDT,283,0.30899515754908297,6758,50.67876244056893,0.2395397516329669,1694,102.18543774968529,0.20262375697686608,283,260.9703560319529
OPUSDT,288,0.2799035610225635,6894,67.28838530267215,0.23696964119600547,1726,133.93365185403275,0.1686313693339603,288,341.04278429841366
ORDIUSDT,122,0.34559568172928534,2635,129.95947980912882,0.25734922592077397,676,255.5288498297562,0.27654723234673073,122,706.4884789718917
SOLUSDT,289,0.30522840506829285,6936,61.942871156226744,0.27779024890095727,1734,124.85845566754286,0.13716193373901286,289,325.5968313156126
WLDUSDT,81,0.2101042754007995,1925,90.68855226192095,0.1930107101963773,484,175.57473290710354,-0.022041553748870825,81,428.67101629953436
XRPUSDT,289,0.32828224400474915,6933,44.55753116847876,0.21075157986713902,1733,88.38302467668464,0.025908304498269898,289,235.29900267742377
