symbol,clock,design_dates,n_windows,design_ic_ridge,confirm_sub_ridge_p5,confirm_sub_ridge_med,confirm_sub_ridge_p95,design_below_p5_ridge,design_ic_rv20,confirm_sub_rv20_p5,confirm_sub_rv20_med,confirm_sub_rv20_p95,design_below_p5_rv20
BTCUSDT,H1,102,191,0.414454935580622,0.26793228623618204,0.35239623821358745,0.4047138954570729,false,0.35186988389670737,0.1953086711732287,0.2813481731381505,0.335995071627157,false
ETHUSDT,H1,102,191,0.30956671733423213,0.22542504131352537,0.27745589228865136,0.3485301255860376,false,0.23277204945174362,0.15186508585162084,0.20830522597051093,0.27082692195451785,false
SOLUSDT,H1,102,191,0.2829042611097796,0.2724315335094828,0.3030037735106707,0.387515554327484,false,0.2543787824906721,0.23166792313037915,0.26748332847795003,0.3517149546828421,false
AVAXUSDT,H1,103,190,0.2540693149331211,0.23499180019501273,0.2624192394143413,0.4160917875920424,false,0.2058360063204603,0.18487476856551738,0.21504684314861597,0.3810912254618142,false
DOGEUSDT,H1,93,200,0.24361783609041934,0.28362188040048597,0.3201208663097292,0.4726886793886395,true,0.19441367270478616,0.23399391787204454,0.2711505513953659,0.44454727889394663,true
XRPUSDT,H1,102,191,0.2958913044697159,0.3049918019315145,0.3445351672262549,0.36579049277797115,true,0.2658923339330007,0.27983927069798986,0.3216886641205943,0.3434767975583437,true
LINKUSDT,H1,103,190,0.2531865696730747,0.23310124990362172,0.29373472452636074,0.37588617751015085,false,0.1824397076847783,0.18809662948647352,0.24013626728379184,0.34677193193862876,true
ADAUSDT,H1,103,190,0.2677870562761974,0.28131728827058516,0.3267667825191265,0.4042331309884024,true,0.21310362186106266,0.22922941104666653,0.28166243133129903,0.36541155677055065,true
1000LUNCUSDT,H1,64,213,0.2013555060403022,0.18460463247621686,0.26267127947370134,0.41202384214983645,false,0.15425420371191836,0.12447325612845103,0.21798256645566097,0.40879531366876387,false
INJUSDT,H1,85,208,0.15972128049945533,0.16938590488337857,0.23198182280193994,0.4083269326240087,true,0.13970555702603982,0.11810768771419246,0.18580099561476782,0.3959964090741216,false
