symbol,clock,band,n,n_dates,ic_ridge,ic_rv20,ic_ewma,ic_park,ic_gk,ic_absr
BTCUSDT,H1,DESIGN,2433,102,0.414454935580622,0.35186988389670737,0.37760486977528007,0.3922975794906227,0.38785256783812766,0.2623737901414072
BTCUSDT,H1,CONFIRM,7005,292,0.36549243640517437,0.3036095688888837,0.3065440898036328,0.37187743389230393,0.36835475187498723,0.2513404456314848
BTCUSDT,H4,DESIGN,608,102,0.30583978048426186,0.2401964356829792,0.28898639591222286,0.2580078798571722,0.248781406919137,0.198070344401509
BTCUSDT,H4,CONFIRM,1749,292,0.3035540779759077,0.1745754669319282,0.2241396144548858,0.3130959982550156,0.30779375540050813,0.22929573392800368
BTCUSDT,D1,DESIGN,101,101,0.24926033779848572,0.13435061153174138,0.06801397786837507,0.27341875364006984,0.24928363424577749,0.26428654630168896
BTCUSDT,D1,CONFIRM,289,289,0.2379961619536253,0.10299437219106711,0.1831906494849461,0.2758720120908404,0.25795549457105355,0.20781479934773098
ETHUSDT,H1,DESIGN,2433,102,0.30956671733423213,0.23277204945174362,0.25816828213793036,0.30076862601679305,0.295777520898809,0.19370201426160194
ETHUSDT,H1,CONFIRM,7000,292,0.3257064098645748,0.2615939978339058,0.27310725956772436,0.3277609482953066,0.3290426532230711,0.20665152459118658
ETHUSDT,H4,DESIGN,608,102,0.19794547844322344,0.17124350828415683,0.16891673573183996,0.196026963588248,0.17957535032764396,0.11453730851524446
ETHUSDT,H4,CONFIRM,1748,292,0.29241169759020624,0.22940375310881392,0.2595681978785995,0.273237357390057,0.26836738579629804,0.1801673193896472
ETHUSDT,D1,DESIGN,101,101,0.15984857309260336,0.028608037274315667,-0.022096680256260916,0.20295864880605707,0.18044263249854395,0.1927548048922539
ETHUSDT,D1,CONFIRM,288,288,0.2727179106936893,0.1642478368678892,0.2010853839383673,0.27137512106707823,0.2604755675584438,0.20480832218109626
SOLUSDT,H1,DESIGN,2442,102,0.2829042611097796,0.2543787824906721,0.28242964027498985,0.2927268763916388,0.29117318150913285,0.19414175213327028
SOLUSDT,H1,CONFIRM,7005,292,0.34302902572556476,0.30670154661623755,0.32694969808994945,0.32886244166515083,0.33065766673058533,0.1975163427978963
SOLUSDT,H4,DESIGN,611,103,0.2607904422761929,0.20904828663450759,0.2301232031520025,0.25027506342474215,0.24828076088623172,0.140650782051145
SOLUSDT,H4,CONFIRM,1749,292,0.3086404230660135,0.28105365509501345,0.3000100491097524,0.2759789612679324,0.27215883547728914,0.18671018970740677
SOLUSDT,D1,DESIGN,101,101,0.07715783343040186,0.15304601048340127,-0.1440768782760629,0.04680256260920209,0.033069306930693064,0.12469423412929526
SOLUSDT,D1,CONFIRM,289,289,0.13004862188283023,0.13716193373901286,0.1441768086544963,0.1392171777433083,0.14224585371674026,0.07024917472059818
AVAXUSDT,H1,DESIGN,2187,103,0.2540693149331211,0.2058360063204603,0.22001872789093713,0.2314068436749892,0.22817917090439233,0.14404937203143078
AVAXUSDT,H1,CONFIRM,6483,292,0.3705699077108809,0.3275042569037695,0.33522107298682424,0.35569822803909373,0.35942962516639304,0.2099759002607647
AVAXUSDT,H4,DESIGN,555,102,0.17346143820479665,0.09859685344518249,0.11052367111167344,0.20989972089555708,0.2093231064796064,0.10570406220003108
AVAXUSDT,H4,CONFIRM,1626,290,0.3170832822454935,0.30448682259478504,0.31420869374784727,0.287205813150019,0.29010307162253535,0.18881851712355027
AVAXUSDT,D1,DESIGN,91,91,0.08991877687529862,0.05163242554546903,-0.016372033763338113,0.05462653288740246,0.079296066252588,-0.023745819397993313
AVAXUSDT,D1,CONFIRM,272,272,0.18990988390814736,0.20026321627146457,0.20304267037499069,0.263546633527098,0.2700280509592426,0.14350417298332802
DOGEUSDT,H1,DESIGN,2217,93,0.24361783609041934,0.19441367270478616,0.20646696743665183,0.25750079797539277,0.2536660517042028,0.18572382616919783
