clock,ym,n_symbols,med_ic_rv20,p25,p75
H1,2021-08,1,-0.02231340917896517,-0.02231340917896517,-0.02231340917896517
H1,2021-09,1,0.19313814988093927,0.19313814988093927,0.19313814988093927
H1,2021-10,1,0.21450940823672876,0.21450940823672876,0.21450940823672876
H1,2021-11,1,0.2947586944667714,0.2947586944667714,0.2947586944667714
H1,2021-12,1,0.28218472263516836,0.28218472263516836,0.28218472263516836
H1,2022-01,1,0.2847318844877487,0.2847318844877487,0.2847318844877487
H1,2022-02,1,0.09711009953598922,0.09711009953598922,0.09711009953598922
H1,2022-03,1,0.14859637793621158,0.14859637793621158,0.14859637793621158
H1,2022-04,1,0.13619593791045034,0.13619593791045034,0.13619593791045034
H1,2022-05,1,0.3763675321657538,0.3763675321657538,0.3763675321657538
H1,2022-06,1,0.21802718012496955,0.21802718012496955,0.21802718012496955
H1,2022-07,1,0.1227382937353933,0.1227382937353933,0.1227382937353933
H1,2022-08,1,0.1195354251230134,0.1195354251230134,0.1195354251230134
H1,2022-09,13,0.10686443316799704,0.06657862154225258,0.16096722250676412
H1,2022-10,14,0.19173173726071052,0.15961985741172668,0.22447959473833087
H1,2022-11,15,0.31640025571413904,0.2726965581352345,0.3583295105744895
H1,2022-12,15,0.18232244963022354,0.14078705847336517,0.22178751889715903
H1,2023-01,15,0.18121640683450607,0.14545922664944466,0.24225365097132157
H1,2023-02,15,0.1385678081141573,0.1039357138821541,0.1732369717379642
H1,2023-03,16,0.1697628230788749,0.12907365819446107,0.2083782215682511
H1,2023-04,17,0.20272836149104811,0.14779997364259306,0.22457281961153994
H1,2023-05,17,0.13299383405834117,0.08821539484516343,0.1690622291005933
H1,2023-06,17,0.18422855786873715,0.13001828811734373,0.21247039448837565
H1,2023-07,19,0.24585037623000022,0.18503014788244987,0.2635840058640432
H1,2023-08,19,0.1816484241392942,0.1228727916407763,0.2217770225799538
H1,2023-09,20,0.12767230111754294,0.10210301943313997,0.17420621874058576
H1,2023-10,21,0.29159187175788065,0.23618912053917424,0.3240189083826911
H1,2023-11,21,0.24063770228483716,0.19448794386404805,0.29494792952304083
H1,2023-12,22,0.23754787370377473,0.16844165328583438,0.27987805064273474
H4,2021-09,1,0.03104808980252764,0.03104808980252764,0.03104808980252764
H4,2021-10,1,0.03851440790143571,0.03851440790143571,0.03851440790143571
H4,2021-11,1,0.15296004224303597,0.15296004224303597,0.15296004224303597
H4,2021-12,1,0.2046286755964175,0.2046286755964175,0.2046286755964175
H4,2022-01,1,0.25218915655348295,0.25218915655348295,0.25218915655348295
H4,2022-02,1,-0.0015463578337829838,-0.0015463578337829838,-0.0015463578337829838
H4,2022-03,1,0.03342836778332146,0.03342836778332146,0.03342836778332146
H4,2022-04,1,-0.045397861611533065,-0.045397861611533065,-0.045397861611533065
H4,2022-05,1,0.16842993063189415,0.16842993063189415,0.16842993063189415
H4,2022-06,1,0.21615717782938923,0.21615717782938923,0.21615717782938923
H4,2022-07,1,-0.04586062688529481,-0.04586062688529481,-0.04586062688529481
H4,2022-08,1,-0.0037698902974045287,-0.0037698902974045287,-0.0037698902974045287
H4,2022-09,12,0.0004819629081151502,-0.023243176516752527,0.08641663310375643
H4,2022-10,14,0.14203323216189556,0.03091661023784397,0.22638656840754268
H4,2022-11,15,0.26585594205582475,0.1372784117466832,0.3105783799511034
H4,2022-12,14,0.10838048375633183,0.03972383333376979,0.18697051455811634
H4,2023-01,15,0.11713755569854574,0.10685188173225464,0.18360379575362107
H4,2023-02,15,0.040898888631942645,-0.030665522084074377,0.05800578470659995
H4,2023-03,16,0.10493307774445645,0.061008523581685035,0.16140518075276414
H4,2023-04,17,0.06485796886735187,0.014058054290800079,0.09384428682024563
H4,2023-05,17,0.07941837168356505,0.025875195944728726,0.111239149387817
H4,2023-06,17,0.13655219547851455,0.0460796352148971,0.21552730328382266
H4,2023-07,18,0.13034701080241878,0.08971972992481114,0.18773392837866124
H4,2023-08,17,0.11488403891996159,0.02205649232536395,0.19122294038464507
H4,2023-09,18,0.05615713303923264,0.004740605854016595,0.1130062097494406
H4,2023-10,21,0.20953169848394368,0.13265482145937552,0.3202080867781705
H4,2023-11,21,0.18058083819806248,0.07498173811948929,0.27179467657933515
H4,2023-12,21,0.13888682745825603,0.07653679653679653,0.21616640744199644
