symbol,clock,band,mean_ratio,median_ratio,p90_ratio,cv_hi,cv_lo
BTCUSDT,H1,DESIGN,3.6215663034316523,3.750857070891011,3.8036086357356234,1.154414990074703,1.3717699118452573
BTCUSDT,H1,CONFIRM,3.234757325765727,3.527424251166552,3.4800860926679653,1.1581118646232242,1.7082008804986508
BTCUSDT,H4,DESIGN,2.8677505696717165,2.4377985212409725,2.6147435379388564,1.2918189915702394,1.2560909107204072
BTCUSDT,H4,CONFIRM,2.80266979965124,3.4014376461104607,2.6002911029282423,1.2035627378600031,1.5562745482323683
BTCUSDT,D1,CONFIRM,1.972569391464154,2.9997413033274642,2.048410027861298,1.007273069522178,1.1869701304184805
ETHUSDT,H1,DESIGN,2.7291634136639265,2.860566058097733,2.57171113421924,1.1703431870906205,1.2873332682534415
ETHUSDT,H1,CONFIRM,2.731084780364752,3.0289998822980877,2.8515717268108323,1.1201492615790336,1.4490758215590516
ETHUSDT,H4,DESIGN,2.29006837463919,2.545506078999901,2.1693797667331696,1.1456120187940295,1.2551546723102625
ETHUSDT,H4,CONFIRM,2.6578039769922515,3.0207445750867343,2.951295333066224,1.1044116343453603,1.4053803584458928
ETHUSDT,D1,CONFIRM,1.6777684514160889,2.291805147094982,1.305736042524031,0.8086367995943496,1.6638998194837695
SOLUSDT,H1,DESIGN,2.2944740458250825,2.5898140321216854,2.043306596377218,1.133919374691211,1.5851873987954295
SOLUSDT,H1,CONFIRM,2.856647007446883,3.0087710843375115,2.9015852308665844,1.0011485378558787,1.2480152491784757
SOLUSDT,H4,DESIGN,2.113663062027676,2.280911740216476,2.004468558330932,1.1537481786722472,0.9827285986844669
SOLUSDT,H4,CONFIRM,2.58462961865155,2.546013079359421,2.8422398388029,0.9977092626861553,1.1580523900898618
SOLUSDT,D1,CONFIRM,1.6641964213675826,1.0508350740881642,1.9775240108715952,1.0783654512582552,0.8152405922805409
AVAXUSDT,H1,DESIGN,1.9931147106947078,2.2480817430867854,1.9283098099103164,1.0206181770752674,1.5564559551180903
AVAXUSDT,H1,CONFIRM,3.4355087011721324,3.246366694167694,3.5397146216776707,0.9952252445135941,1.0822535979235353
AVAXUSDT,H4,DESIGN,1.7813721498584048,1.8206879029440861,1.858253468266193,1.0390170365608558,0.9479647664351267
AVAXUSDT,H4,CONFIRM,3.113579474962127,2.776843577687511,2.985535875125975,1.0289608988475965,1.0233129935120933
AVAXUSDT,D1,CONFIRM,2.0970330009471927,1.6289898842037869,2.7247999714126467,1.0270891339098618,0.9091473527916762
DOGEUSDT,H1,DESIGN,2.143892636178929,2.4680385550887953,2.142971991567815,1.076153516912326,1.1501843449455744
DOGEUSDT,H1,CONFIRM,3.3103372947497043,3.3901079136688743,3.695672640038869,1.10903779032199,1.5699141352896226
DOGEUSDT,H4,DESIGN,1.7500330332117064,2.08747134442814,1.8178615992513119,0.8837296362182593,1.0820973075305607
DOGEUSDT,H4,CONFIRM,3.292494785039483,3.455865233171119,3.333193710457311,1.2927085355381358,1.3460625298176732
DOGEUSDT,D1,CONFIRM,2.923146389160676,3.707882920072609,2.5992913489407923,0.8256044616312024,1.0583092684293602
XRPUSDT,H1,DESIGN,2.2034535499466625,2.507937623462054,2.056884490412151,0.9493981835321618,1.2151252189795518
XRPUSDT,H1,CONFIRM,2.852432247704847,2.929840409515367,3.1227089049637735,1.3523138027089114,2.854130510197844
XRPUSDT,H4,DESIGN,1.7056153873544606,1.8655251906786798,1.469251802218937,0.9165843051373523,1.1309030597887146
XRPUSDT,H4,CONFIRM,2.14074993266191,2.4040253191212244,2.143860168723079,1.7716342630630622,2.3194158406596173
XRPUSDT,D1,CONFIRM,0.9811251088630805,1.1640452645978288,1.6196123674074456,1.0916106812839277,3.4354887907613127
LINKUSDT,H1,DESIGN,2.1863776598956126,2.251994091580422,2.302634756136274,1.0068896013986515,0.9472306069419439
LINKUSDT,H1,CONFIRM,2.6546556090924347,2.707185973360922,2.7758171182218767,0.9623110986050186,1.0893706139158028
LINKUSDT,H4,DESIGN,1.6293460979784211,1.6125907990314932,1.5248554551026468,1.0788002824957286,1.0266319082080824
LINKUSDT,H4,CONFIRM,2.2816090697853073,2.5567034553668915,2.1564440751848526,0.9938832753713949,1.0237517301477395
LINKUSDT,D1,CONFIRM,1.5703156544331796,2.0203454523690136,1.567224160814745,0.8093497052383086,1.1990193141539998
ADAUSDT,H1,DESIGN,2.1734460031169114,2.328997801357338,2.319477198986771,1.1246393583678336,1.0841963946465527
ADAUSDT,H1,CONFIRM,3.2620745696895863,2.9655259189713004,3.4880036800063174,1.0741766815384894,1.2089172828487986
ADAUSDT,H4,DESIGN,1.8048097660949964,2.2132220547302506,1.8419314901550723,0.7551372932823096,1.1871233992473362
ADAUSDT,H4,CONFIRM,2.9457107649974357,2.785974499089178,2.9423390873029187,1.0694083810418467,0.9599455485384235
ADAUSDT,D1,CONFIRM,1.591301328823731,1.609177326454816,1.773837007131787,0.7531951600840482,0.9396656601094759
1000LUNCUSDT,H1,DESIGN,1.9393960416468476,2.155995374898975,1.754494372766924,1.154063040824891,1.1379771127155258
1000LUNCUSDT,H1,CONFIRM,3.0233841782966673,2.798220017508099,3.1584870426825784,1.1855925841582555,1.2612439853871742
1000LUNCUSDT,H4,DESIGN,1.4044024403997872,1.3250344352616934,1.6878659657221005,0.8770116966163577,0.8369061284581346
1000LUNCUSDT,H4,CONFIRM,2.780857810914024,2.4368567711694675,2.6427305987986545,1.2687580740619124,0.9867131089349236
1000LUNCUSDT,D1,CONFIRM,1.6578253157108322,1.859828444416635,1.6858703132846493,1.1765408059777978,1.6814707743679105
MATICUSDT,H1,DESIGN,3.7925849859158416,3.7965858685425857,3.7759763741561807,1.0392970858838648,1.0609376513556508
MATICUSDT,H1,CONFIRM,2.666770130579296,2.731501057082501,2.924323932258611,1.0223830490507213,1.4270928813907615
MATICUSDT,H4,DESIGN,3.2608578352676667,3.5835037675248973,3.3224916040642887,0.9479945501118521,1.0859948997449584
MATICUSDT,H4,CONFIRM,2.5643921907527485,2.929262375079669,2.590370192598359,0.9951165119686787,1.1821117395475176
MATICUSDT,D1,DESIGN,1.9072370130496177,1.8586135737350582,1.5642193708138106,1.0319110238644575,1.0589121949429463
MATICUSDT,D1,CONFIRM,1.4326116513609073,1.6935516694907824,1.1411955200429307,0.7611539411547728,0.9052920395553906
INJUSDT,H1,DESIGN,1.6046419752487822,1.5664984863773763,1.547623608299889,0.9117806052579213,0.9017074217079266
INJUSDT,H1,CONFIRM,2.9776857043156015,2.957214957559112,2.9343539461007673,0.9245631844597128,1.029746934295385
INJUSDT,H4,DESIGN,0.997489205281332,0.8791040699262506,1.1414753618213278,1.1552511171022195,0.9938286142750534
INJUSDT,H4,CONFIRM,3.0009269069491897,2.8442708448922542,2.964147557476202,0.9541704381318992,0.9553339708354044
INJUSDT,D1,CONFIRM,0.6080476599379567,0.5035345031758156,0.636739980329442,0.9782345037157167,0.8038736658568653
BNBUSDT,H1,DESIGN,3.0369217803851494,2.7108881732506482,3.0869809418755594,1.082397062994704,1.1798660301559833
BNBUSDT,H1,CONFIRM,2.6565910035424793,2.6413717621306234,2.809601068906421,1.144372650881803,1.6820817462547342
BNBUSDT,H4,DESIGN,2.037539831609563,1.881481004458931,1.9245916727972625,1.0319535766125676,1.2672833377572057
BNBUSDT,H4,CONFIRM,2.4398442795215467,2.6005025125628163,2.785801167201003,1.0887509334786591,1.5253141465837217
BNBUSDT,D1,CONFIRM,1.3748444556352746,1.406959017128511,1.180548607902281,1.065694844213633,1.2694705344747281
DYDXUSDT,H1,DESIGN,1.674045896764104,1.7662480243847156,1.7541335615855258,1.0783377704763752,1.0779516366472401
DYDXUSDT,H1,CONFIRM,2.884149434343168,2.8147174770039243,2.9075872534142815,1.0001558432632087,0.9248150077090297
DYDXUSDT,H4,DESIGN,1.042278414656832,1.153846153846164,1.020922429621828,0.9171208915941395,1.0339191670129662
DYDXUSDT,H4,CONFIRM,2.719966353003658,2.861957226182818,2.542600775298883,1.0207673495923721,0.9141422217026459
DYDXUSDT,D1,CONFIRM,2.1061216524244526,2.695702851814465,2.2189480402919326,0.8977449011944806,1.106900905085073
GALAUSDT,H1,DESIGN,2.6483121505225777,2.4114417633167253,2.7422099983069916,1.2414092130187544,0.9710075077172742
GALAUSDT,H1,CONFIRM,2.6659071110932766,2.691211761600506,2.630615947617955,1.0295778899731605,1.1455336176257354
GALAUSDT,H4,DESIGN,2.4089062486767037,2.101328553353008,2.0164050981536734,1.0865388294376896,0.9825462102088675
GALAUSDT,H4,CONFIRM,2.385718182007836,2.6039856923863116,2.3504468310750277,1.0942705037442062,1.1995465658352198
GALAUSDT,D1,CONFIRM,1.8468752479095123,3.331771397428607,1.637645773862984,0.7279937208810479,1.1965648271543508
OPUSDT,H1,DESIGN,2.60117035700007,2.6167371827354153,2.7627932394378814,0.9851277662274115,1.0982725772464492
OPUSDT,H1,CONFIRM,2.725380809147981,2.7132163157200178,2.7072259613400016,1.0326225643955425,1.0365922632149467
OPUSDT,H4,DESIGN,1.9871231457816887,1.9823095271018023,2.0093128223289978,0.9944268660020686,1.1298219141204906
OPUSDT,H4,CONFIRM,2.563550135750675,2.4549718134215595,2.323711171736061,1.069071949240808,0.9104547305195924
OPUSDT,D1,CONFIRM,1.5349813326030026,1.4760611870367215,1.4176966385937846,0.9835130708528673,0.8265176499070207
