key,point,n_grid,env_low,env_high,min_low,max_low,min_high,max_high,sign_low_agree,sign_high_agree,n_cells_low_gt0,low_b1,low_b3,low_b7,arm,symbol,clock,band,metric,model,target
V-PERSIST|BTCUSDT|H1|DESIGN|ic_lag1_rv20_vs_target||,0.3626537908915093,15,0.27945251071452265,0.4292333939158565,0.27945251071452265,0.30985352619975326,0.4099048663053381,0.4292333939158565,true,true,15,0.30893157673717064,0.2903396475411122,0.27945251071452265,V-PERSIST,BTCUSDT,H1,DESIGN,ic_lag1_rv20_vs_target,"",""
V-PERSIST|BTCUSDT|H1|DESIGN|ic_rv20_vs_rv_next||,0.980706017163283,15,0.9741756072511475,0.985399891549135,0.9741756072511475,0.9763766896585497,0.984298605571736,0.985399891549135,true,true,15,0.9762182343442951,0.9750153971673559,0.9741756072511475,V-PERSIST,BTCUSDT,H1,DESIGN,ic_rv20_vs_rv_next,"",""
V-PERSIST|BTCUSDT|H1|DESIGN|ic_abs_r_lag1_persist||,0.2682255433265439,15,0.20041276891640525,0.3256312098819835,0.20041276891640525,0.22011367901340317,0.3131662947136044,0.3256312098819835,true,true,15,0.21829640774437833,0.206484553579923,0.20041276891640525,V-PERSIST,BTCUSDT,H1,DESIGN,ic_abs_r_lag1_persist,"",""
V-PERSIST|BTCUSDT|H1|DESIGN|oos_ic|har_ridge|target_abs_oo,0.3548229646495556,15,0.2572684074039199,0.42299877860729673,0.2572684074039199,0.29134556326005717,0.41122054954564186,0.42299877860729673,true,true,15,0.29009391044098104,0.2703068329651313,0.2572684074039199,V-PERSIST,BTCUSDT,H1,DESIGN,oos_ic,har_ridge,target_abs_oo
V-PERSIST|BTCUSDT|H1|DESIGN|dmae_vs_uncond|har_ridge|target_abs_oo,4.385613636117039,15,1.5296031446314216,7.345868686952598,1.5296031446314216,3.0428039767021926,5.757074125365766,7.345868686952598,true,true,15,2.97774033933291,2.1887956989654196,1.5296031446314216,V-PERSIST,BTCUSDT,H1,DESIGN,dmae_vs_uncond,har_ridge,target_abs_oo
V-PERSIST|BTCUSDT|H1|DESIGN|oos_ic|har_ols|target_abs_oo,0.3543934710182376,15,0.25687077006095527,0.42236385908043245,0.25687077006095527,0.2909918640071942,0.4108936051546779,0.42236385908043245,true,true,15,0.28959473994786866,0.27008160666872905,0.25687077006095527,V-PERSIST,BTCUSDT,H1,DESIGN,oos_ic,har_ols,target_abs_oo
V-PERSIST|BTCUSDT|H1|DESIGN|dmae_vs_uncond|har_ols|target_abs_oo,4.3863699973273444,15,1.5252677713781528,7.35251099059481,1.5252677713781528,3.039737588664254,5.763586137185103,7.35251099059481,true,true,15,2.978306967860356,2.1847294040916854,1.5252677713781528,V-PERSIST,BTCUSDT,H1,DESIGN,dmae_vs_uncond,har_ols,target_abs_oo
V-PERSIST|BTCUSDT|H1|DESIGN|oos_ic|har_ridge|rv_next,0.9805269341653463,15,0.9727554522201243,0.9854573496538622,0.9727554522201243,0.9746539508224502,0.9849074107282522,0.9854573496538622,true,true,15,0.974465646880011,0.9731034004251385,0.9727554522201243,V-PERSIST,BTCUSDT,H1,DESIGN,oos_ic,har_ridge,rv_next
V-PERSIST|BTCUSDT|H1|DESIGN|dmae_vs_uncond|har_ridge|rv_next,0.0019929530210814526,15,0.0016262932500474476,0.0023702115210162025,0.0016262932500474476,0.001761067592358538,0.002231434143966221,0.0023702115210162025,true,true,15,0.0017524357446510367,0.0016717644473796581,0.0016262932500474476,V-PERSIST,BTCUSDT,H1,DESIGN,dmae_vs_uncond,har_ridge,rv_next
V-PERSIST|BTCUSDT|H1|DESIGN|oos_ic|har_ols|rv_next,0.9805069829280529,15,0.9727248723598284,0.9854407763870444,0.9727248723598284,0.9746253908477083,0.9848974543430714,0.9854407763870444,true,true,15,0.9744424879503819,0.9730785210385408,0.9727248723598284,V-PERSIST,BTCUSDT,H1,DESIGN,oos_ic,har_ols,rv_next
