symbol,clock,status,slots,complete,frac_complete,origins,design,confirm,boundary_dropped,contig_design,contig_confirm
BTCUSDT,H1,OK,12504,12503,0.9999200255918106,11061,4054,7005,2,1.0,1.0
BTCUSDT,H4,OK,3126,3125,0.9996801023672425,2763,1012,1749,2,1.0,1.0
BTCUSDT,D1,OK,521,520,0.9980806142034548,458,167,289,2,1.0,1.0
ETHUSDT,H1,OK,12504,12498,0.9995201535508638,11056,4054,7000,2,1.0,0.9985714285714286
ETHUSDT,H4,OK,3126,3124,0.999360204734485,2762,1012,1748,2,1.0,0.9988558352402745
ETHUSDT,D1,OK,521,519,0.9961612284069098,457,167,288,2,1.0,0.9930555555555556
SOLUSDT,H1,OK,12528,12517,0.9991219667943806,11077,4070,7005,2,0.9960687960687961,1.0
SOLUSDT,H4,OK,3132,3130,0.9993614303959132,2768,1017,1749,2,0.9980334316617503,1.0
SOLUSDT,D1,OK,522,521,0.9980842911877394,459,168,289,2,1.0,1.0
AVAXUSDT,H1,OK,12504,11559,0.9244241842610365,10129,3644,6483,2,0.8863885839736553,0.9105352460280735
AVAXUSDT,H4,OK,3126,2912,0.9315419065898912,2552,924,1626,2,0.9166666666666666,0.9138991389913899
AVAXUSDT,D1,OK,521,487,0.9347408829174664,425,151,272,2,0.8741721854304636,0.8933823529411765
ORDIUSDT,H1,NO_DESIGN_HISTORY,5032,4386,0.8716216216216216,2982,0,2982,0,,0.8645204560697518
ORDIUSDT,H4,NO_DESIGN_HISTORY,1258,1107,0.8799682034976153,754,0,754,0,,0.870026525198939
ORDIUSDT,D1,NO_DESIGN_HISTORY,210,185,0.8809523809523809,123,0,123,0,,0.8536585365853658
1000BONKUSDT,H1,NO_DESIGN_HISTORY,8295,4865,0.5864978902953587,3559,0,3559,0,,0.7909525147513347
1000BONKUSDT,H4,NO_DESIGN_HISTORY,2074,1184,0.570877531340405,853,0,853,0,,0.7807737397420867
1000BONKUSDT,D1,NO_DESIGN_HISTORY,346,201,0.5809248554913294,139,0,139,0,,0.6618705035971223
TIAUSDT,H1,NO_DESIGN_HISTORY,1063,1060,0.9971777986829727,0,0,0,0,,
TIAUSDT,H4,NO_DESIGN_HISTORY,266,264,0.9924812030075187,0,0,0,0,,
TIAUSDT,D1,NO_DESIGN_HISTORY,45,43,0.9555555555555556,0,0,0,0,,
DOGEUSDT,H1,OK,12504,11884,0.9504158669225847,10627,3694,6931,2,0.9385489983757445,0.9802337325061319
DOGEUSDT,H4,OK,3126,2980,0.9532949456174025,2659,923,1734,2,0.9382448537378115,0.9838523644752019
DOGEUSDT,D1,OK,521,501,0.9616122840690979,439,151,286,2,0.9271523178807947,0.9790209790209791
XRPUSDT,H1,OK,12504,12469,0.9972008957133717,11047,4043,7002,2,0.9953005194162751,0.9991431019708654
XRPUSDT,H4,OK,3126,3118,0.9974408189379399,2760,1010,1748,2,0.996039603960396,0.9988558352402745
XRPUSDT,D1,OK,521,520,0.9980806142034548,458,167,289,2,1.0,1.0
LINKUSDT,H1,OK,12504,12196,0.9753678822776711,10807,3939,6866,2,0.9492256917999492,0.9641712787649286
LINKUSDT,H4,OK,3126,3065,0.9804862444017914,2714,986,1726,2,0.9563894523326572,0.973928157589803
LINKUSDT,D1,OK,521,512,0.982725527831094,450,163,285,2,0.9754601226993865,0.9824561403508771
ADAUSDT,H1,OK,12528,12283,0.9804438058748404,10857,3959,6896,2,0.9469563020964891,0.972592807424594
ADAUSDT,H4,OK,3132,3081,0.9837164750957854,2720,995,1723,2,0.9557788944723619,0.971561230412072
