symbol,clock,band,d1_over_mean,d10_over_mean,ratio_d10_d1,monotone_steps_of_9,tailrate_d1,tailrate_d10
BTCUSDT,H1,DESIGN,0.3454411801104554,1.9367048071566595,5.606467667049409,8,0.004098360655737705,0.2540983606557377
BTCUSDT,H1,CONFIRM,0.38545358012345415,1.9131403216947556,4.963348170438603,9,0.007132667617689016,0.2738944365192582
BTCUSDT,H4,DESIGN,0.45586988569392906,1.3822552412839102,3.0321266761892582,6,0.0,0.13114754098360656
BTCUSDT,H4,CONFIRM,0.5515402999202131,1.9257189276002975,3.491528956050674,8,0.05142857142857143,0.26857142857142857
BTCUSDT,D1,DESIGN,0.5294655936457523,1.558560055546505,2.943647470678303,5,0.0,0.2727272727272727
BTCUSDT,D1,CONFIRM,0.5693897581973729,1.6414135035452961,2.882759094125324,6,0.06896551724137931,0.2413793103448276
ETHUSDT,H1,DESIGN,0.4179311623462295,1.5592363831297669,3.730844989821645,8,0.01639344262295082,0.22131147540983606
ETHUSDT,H1,CONFIRM,0.460398544328762,1.794225803161696,3.8971144137251508,8,0.014285714285714285,0.26857142857142857
ETHUSDT,H4,DESIGN,0.5336724418413213,1.208516781886965,2.2645291139959176,5,0.01639344262295082,0.08196721311475409
ETHUSDT,H4,CONFIRM,0.5618685079424101,1.6061171298990362,2.8585284763168444,7,0.04,0.24
ETHUSDT,D1,DESIGN,0.704234727162266,1.0668817474069383,1.5149519134138256,4,0.0,0.09090909090909091
ETHUSDT,D1,CONFIRM,0.507216451402111,1.1162065666681624,2.2006513463484967,5,0.06896551724137931,0.10344827586206896
SOLUSDT,H1,DESIGN,0.5509526056588159,1.626997045538799,2.953061713163649,8,0.0326530612244898,0.2530612244897959
SOLUSDT,H1,CONFIRM,0.5065365549754735,1.941734812680246,3.8333557442350137,8,0.012838801711840228,0.33951497860199714
SOLUSDT,H4,DESIGN,0.650847297488481,1.9591974240605883,3.0102259494981816,6,0.04918032786885246,0.2903225806451613
