symbol,clock,band,n,ic_pooled,ic_within_month,n_wm,ic_within_day,n_wd,ic_within_hod
BTCUSDT,H1,DESIGN,2433,0.414454935580622,0.3580476067843463,2433,0.046635167186805944,2422,0.40873947121522985
BTCUSDT,H1,CONFIRM,7005,0.36549243640517437,0.30353209790056873,7005,0.09399701372427975,7005,0.352946482860223
BTCUSDT,H4,DESIGN,608,0.30583978048426186,0.22629350328199513,608,-0.14514285714285716,600,NaN
BTCUSDT,H4,CONFIRM,1749,0.3035540779759077,0.23321307744286604,1749,-0.054884634266077564,1746,NaN
BTCUSDT,D1,DESIGN,101,0.24926033779848572,0.17160649326627506,88,NaN,0,NaN
BTCUSDT,D1,CONFIRM,289,0.2379961619536253,0.19752220663861622,275,NaN,0,NaN
ETHUSDT,H1,DESIGN,2433,0.30956671733423213,0.2678592585367818,2433,0.06020929304310755,2422,0.2964873330289026
ETHUSDT,H1,CONFIRM,7000,0.3257064098645748,0.24405066352485688,7000,0.07141278390862049,7000,0.31321689368184236
ETHUSDT,H4,DESIGN,608,0.19794547844322344,0.15840041745910532,608,-0.08514285714285715,600,NaN
ETHUSDT,H4,CONFIRM,1748,0.29241169759020624,0.17420111463216081,1748,-0.10916256157635468,1740,NaN
ETHUSDT,D1,DESIGN,101,0.15984857309260336,0.0489813534390882,88,NaN,0,NaN
ETHUSDT,D1,CONFIRM,288,0.2727179106936893,0.15002217249618546,274,NaN,0,NaN
SOLUSDT,H1,DESIGN,2442,0.2829042611097796,0.20997906599497626,2442,0.014918323752939529,2442,0.28148359962995595
SOLUSDT,H1,CONFIRM,7005,0.34302902572556476,0.2535726146463851,7005,0.006195219391896862,7005,0.34205696529456747
SOLUSDT,H4,DESIGN,611,0.2607904422761929,0.17642066315409405,611,-0.025158673717489775,600,NaN
SOLUSDT,H4,CONFIRM,1749,0.3086404230660135,0.20300720096782787,1749,-0.1159931099921605,1746,NaN
SOLUSDT,D1,DESIGN,101,0.07715783343040186,-0.07204072824641294,88,NaN,0,NaN
SOLUSDT,D1,CONFIRM,289,0.13004862188283023,0.035296867695184676,275,NaN,0,NaN
AVAXUSDT,H1,DESIGN,2187,0.2540693149331211,0.20373342167886388,2187,0.02583108156913997,2063,0.2462731135026832
AVAXUSDT,H1,CONFIRM,6483,0.3705699077108809,0.24236630659392683,6483,0.06287117502949263,6363,0.3686152221030764
AVAXUSDT,H4,DESIGN,555,0.17346143820479665,0.13967391967191142,555,-0.06742857142857142,450,NaN
AVAXUSDT,H4,CONFIRM,1626,0.3170832822454935,0.17718114441475538,1626,-0.12990302522515876,1338,NaN
AVAXUSDT,D1,DESIGN,91,0.08991877687529862,-0.05007208410984914,80,NaN,0,NaN
AVAXUSDT,D1,CONFIRM,272,0.18990988390814736,0.12788076603087006,258,NaN,0,NaN
DOGEUSDT,H1,DESIGN,2217,0.24361783609041934,0.22093202980822918,2217,-0.012203101177623528,2205,0.24447633131594546
