clock,window_dates,n_draws,median_ic,p25,p75
H1,15,1260,0.14666757238573738,0.08690034719462597,0.22464542948785432
H1,30,1260,0.19811381756705723,0.1400362462118947,0.25902811386346003
H1,60,1260,0.23639657423794438,0.18460193533000585,0.2801988645891753
H1,100,1140,0.2560437068253911,0.21341916093005603,0.3145536768814399
H1,150,1080,0.26666356331423047,0.22947879944541422,0.3076962709493155
H1,220,1020,0.2892283723723085,0.25215226537223767,0.3102647953609707
H1,290,840,0.3064719774557598,0.29574970720694277,0.3272705716773328
H4,15,1260,0.05562957169036478,-0.04539986877597142,0.1496747634388084
H4,30,1260,0.1257847543242786,0.04932193394581281,0.20641995123306273
H4,60,1260,0.17994952648017015,0.11382762304177506,0.24960236596937527
H4,100,1140,0.19148206541787088,0.15486144993179354,0.24559538739876702
H4,150,1080,0.22234763811848737,0.18376115341873245,0.25975218385868143
H4,220,960,0.2374855573619454,0.20571259155664046,0.275898978250914
H4,290,840,0.257219702342276,0.23620088256064403,0.30448682259478504
D1,15,1260,-0.1964285714285714,-0.3607142857142856,-0.010714285714285713
D1,30,1260,-0.09032258064516127,-0.2116796440489433,0.05528364849833148
D1,60,1200,0.012503473186996392,-0.07585440400111143,0.10219505418171716
D1,100,1140,0.08088208820882087,-0.014629462946294629,0.17788492234522213
D1,150,1020,0.10166323026672455,0.033407707009200406,0.16133616691604472
D1,220,840,0.12039016583738582,0.07636155678109643,0.16272800527433887
