symbol,clock,band,value,ci_low,ci_high,se,se_median,n_obs,n_dates,mde,band_label,band_label_detected
1000LUNCUSDT,D1,CONFIRM,0.17099699364847654,-0.019574372105797037,0.3327071059393591,0.08965900888700164,0.07791467164291255,174,174,0.1137147065368355,UNPOWERED,INDETERMINATE
ADAUSDT,D1,CONFIRM,0.22297160309822472,0.09845968830229984,0.3399192375117744,0.060957647440850395,0.05756244126166407,284,284,0.08900862436453899,SUPPORTED,SUPPORTED
AVAXUSDT,D1,CONFIRM,0.1899098839081475,0.058176595574612876,0.31358900142095736,0.06456298961699623,0.06059861111808653,272,272,0.09095085938862486,SUPPORTED,SUPPORTED
BNBUSDT,D1,CONFIRM,0.171604022364246,0.05059953263587143,0.288337011658661,0.060087327779010956,0.058349591145385654,265,265,0.09214426752509268,SUPPORTED,SUPPORTED
BTCUSDT,D1,CONFIRM,0.23799616195362547,0.12741733693193155,0.34278178789191227,0.054328192917747015,0.05053903914126256,289,289,0.08823529411764706,SUPPORTED,SUPPORTED
DOGEUSDT,D1,CONFIRM,0.37368695151920905,0.26832092874258656,0.47149375360068846,0.05057158005671529,0.049978917605064524,286,286,0.08869685939836239,SUPPORTED,SUPPORTED
DYDXUSDT,D1,CONFIRM,0.31522459665458674,0.18688089022684445,0.4313375223640576,0.06180862660777266,0.056405495417186216,265,265,0.09214426752509268,SUPPORTED,SUPPORTED
ETHUSDT,D1,CONFIRM,0.2727179106936892,0.1571451906789209,0.38287722484963455,0.056300457360108205,0.05526350723732408,288,288,0.08838834764831845,SUPPORTED,SUPPORTED
GALAUSDT,D1,CONFIRM,0.2864875817379024,0.15664020210414367,0.40066551598834255,0.06065295738636579,0.0594757678024703,286,286,0.08869685939836239,SUPPORTED,SUPPORTED
INJUSDT,D1,CONFIRM,-0.21645030194452508,-0.3390877253428173,-0.08969009073235704,0.06330199252475519,0.05938813297291235,286,286,0.08869685939836239,CONTRADICTED,CONTRADICTED
LINKUSDT,D1,CONFIRM,0.2273523287584615,0.10902208992924428,0.33456803651244327,0.05752917417334728,0.055791376287761936,285,285,0.08885233166386385,SUPPORTED,SUPPORTED
MATICUSDT,D1,CONFIRM,0.19631903139761786,0.07830802931461352,0.31248046177436767,0.059559454637608686,0.05089100310950064,283,283,0.0891657447416646,SUPPORTED,SUPPORTED
OPUSDT,D1,CONFIRM,0.13502294748602428,0.0066929452343065,0.2551399532266799,0.06263328399589772,0.06103107434521606,288,288,0.08838834764831845,SUPPORTED,SUPPORTED
SOLUSDT,D1,CONFIRM,0.13004862188283015,0.00864281347413979,0.24968044155827532,0.06039915207598534,0.059057825096504694,289,289,0.08823529411764706,SUPPORTED,SUPPORTED
XRPUSDT,D1,CONFIRM,0.13427395298890327,0.005187111127981309,0.2542975207454193,0.06288814659972358,0.06113675769177496,289,289,0.08823529411764706,SUPPORTED,SUPPORTED
1000LUNCUSDT,H1,CONFIRM,0.31676162944284014,0.23678491075446678,0.3793426551311153,0.03635234470082946,0.030804155660982022,3662,276,0.0902893898143269,SUPPORTED,SUPPORTED
ADAUSDT,H1,CONFIRM,0.3772623075842806,0.32410517512151443,0.4218163060106711,0.024760569971925484,0.020886146263669896,6896,292,0.08778086039709793,SUPPORTED,SUPPORTED
AVAXUSDT,H1,CONFIRM,0.37056990771088083,0.29989063435080154,0.42897908751265235,0.0330823335171086,0.025568971049259186,6483,292,0.08778086039709793,SUPPORTED,SUPPORTED
BNBUSDT,H1,CONFIRM,0.32633455466155925,0.27955848438977526,0.3647768556469383,0.021483179341988286,0.019358449340366363,6453,292,0.08778086039709793,SUPPORTED,SUPPORTED
BTCUSDT,H1,CONFIRM,0.36549243640517454,0.3160101133585972,0.4094621731206977,0.023576250044145357,0.022000708765981633,7005,292,0.08778086039709793,SUPPORTED,SUPPORTED
DOGEUSDT,H1,CONFIRM,0.38468250793412495,0.3324092870332474,0.4269962194770144,0.02391147228416481,0.02029294706020598,6931,292,0.08778086039709793,SUPPORTED,SUPPORTED
DYDXUSDT,H1,CONFIRM,0.3270146970437354,0.2666293161669408,0.3788146538670504,0.02866799615699399,0.021915740889579538,6351,292,0.08778086039709793,SUPPORTED,SUPPORTED
ETHUSDT,H1,CONFIRM,0.3257064098645747,0.2805754323325698,0.36540641053636197,0.02136291439652946,0.01922769946851877,7000,292,0.08778086039709793,SUPPORTED,SUPPORTED
GALAUSDT,H1,CONFIRM,0.3257246142810152,0.27611751418926916,0.36755365490642344,0.023162016320150275,0.019753776293807302,6827,292,0.08778086039709793,SUPPORTED,SUPPORTED
INJUSDT,H1,CONFIRM,0.35617504498172076,0.30102791463770995,0.3995701511478918,0.024856578394999617,0.02037483232161369,6931,292,0.08778086039709793,SUPPORTED,SUPPORTED
LINKUSDT,H1,CONFIRM,0.33237859174313344,0.27822977694962775,0.37864965825224106,0.025540119061657703,0.0203960178719011,6866,292,0.08778086039709793,SUPPORTED,SUPPORTED
MATICUSDT,H1,CONFIRM,0.33821993783192367,0.28653020904342924,0.3841647781864948,0.024663862403184453,0.021758458382319663,6961,292,0.08778086039709793,SUPPORTED,SUPPORTED
OPUSDT,H1,CONFIRM,0.3231050615441643,0.27754945434535033,0.36319616368271473,0.021886234657070694,0.01837068159795254,6986,292,0.08778086039709793,SUPPORTED,SUPPORTED
SOLUSDT,H1,CONFIRM,0.34302902572556476,0.2903539116806446,0.38571266848237845,0.0241245585351062,0.02142505948661085,7005,292,0.08778086039709793,SUPPORTED,SUPPORTED
XRPUSDT,H1,CONFIRM,0.35091580687990326,0.3026811188850004,0.39263858260475,0.022768720437372544,0.019928533392742104,7002,292,0.08778086039709793,SUPPORTED,SUPPORTED
1000LUNCUSDT,H4,CONFIRM,0.27689161735799706,0.18250449293266088,0.3477725029197968,0.041549985264100184,0.03812976535338544,856,223,0.10044742952736375,UNPOWERED,SUPPORTED
ADAUSDT,H4,CONFIRM,0.34069054444965297,0.2709794181810288,0.398371753120824,0.03217823239747469,0.029951353469389378,1723,292,0.08778086039709793,SUPPORTED,SUPPORTED
AVAXUSDT,H4,CONFIRM,0.3170832822454935,0.2195422571468087,0.39888964059102383,0.04567867321685789,0.0362835177890542,1626,290,0.08808303292720551,SUPPORTED,SUPPORTED
BNBUSDT,H4,CONFIRM,0.3141868198360357,0.25084934228472483,0.36766798645167986,0.029683702814793232,0.02827635241810425,1634,292,0.08778086039709793,SUPPORTED,SUPPORTED
BTCUSDT,H4,CONFIRM,0.3035540779759078,0.23042612980169563,0.3690052534458943,0.03499912158907223,0.03310296319862538,1749,292,0.08778086039709793,SUPPORTED,SUPPORTED
DOGEUSDT,H4,CONFIRM,0.36708173912952735,0.2919961864882674,0.428661758023178,0.03461763195634225,0.030415880057375097,1734,292,0.08778086039709793,SUPPORTED,SUPPORTED
DYDXUSDT,H4,CONFIRM,0.30120170308997224,0.21902280608946606,0.36803071790425734,0.03771467112437843,0.03110114454146142,1605,290,0.08808303292720551,SUPPORTED,SUPPORTED
ETHUSDT,H4,CONFIRM,0.2924116975902061,0.20915930740000543,0.36202363683804706,0.03883950514273766,0.03352316809128788,1748,292,0.08778086039709793,SUPPORTED,SUPPORTED
GALAUSDT,H4,CONFIRM,0.2885175484915378,0.22186359105802525,0.3443969689142133,0.031146823239524755,0.028908957035514674,1715,292,0.08778086039709793,SUPPORTED,SUPPORTED
INJUSDT,H4,CONFIRM,0.3567818909949189,0.27168911681648167,0.42171746516920733,0.03782324950875167,0.030816494095288225,1733,292,0.08778086039709793,SUPPORTED,SUPPORTED
LINKUSDT,H4,CONFIRM,0.2859612664876286,0.20949869334848115,0.3507078001629419,0.036105240652276105,0.03253848928259283,1726,292,0.08778086039709793,SUPPORTED,SUPPORTED
MATICUSDT,H4,CONFIRM,0.29819517253508726,0.22519884628837603,0.3597841032847002,0.03406458026889449,0.0300904113006925,1739,292,0.08778086039709793,SUPPORTED,SUPPORTED
OPUSDT,H4,CONFIRM,0.2883169846694159,0.22447815466936505,0.34298178110972344,0.030077360416980038,0.02709050697086661,1746,292,0.08778086039709793,SUPPORTED,SUPPORTED
SOLUSDT,H4,CONFIRM,0.3086404230660136,0.2366018938188743,0.3669795999366835,0.0330454970765193,0.03073538897919102,1749,292,0.08778086039709793,SUPPORTED,SUPPORTED
XRPUSDT,H4,CONFIRM,0.2573762251768439,0.18574861878266707,0.3213800519096372,0.03421946896641758,0.031228263749776546,1748,292,0.08778086039709793,SUPPORTED,SUPPORTED
1000LUNCUSDT,D1,DESIGN,0.03386550556361866,-0.3322548989173069,0.3331892148560643,0.1754395954562299,0.16347302592727023,53,53,0.20604084592303354,UNPOWERED,UNPOWERED
ADAUSDT,D1,DESIGN,0.19860235003092147,-0.03753248440665593,0.40073493049841613,0.11146092050072486,0.10834698439648445,99,99,0.15075567228888181,UNPOWERED,INDETERMINATE
AVAXUSDT,D1,DESIGN,0.08991877687529834,-0.13938466929768542,0.283599987623371,0.10204758922116045,0.0991181599556104,91,91,0.15724272550828775,UNPOWERED,UNPOWERED
BNBUSDT,D1,DESIGN,0.1715691569156916,-0.10976406222395936,0.40675096446324643,0.13203362892313653,0.11277090973900535,100,100,0.15,UNPOWERED,INDETERMINATE
BTCUSDT,D1,DESIGN,0.2492603377984859,0.05140490455449902,0.4289777280171817,0.09571417199530806,0.09378035703965304,101,101,0.14925557853149837,UNPOWERED,SUPPORTED
DOGEUSDT,D1,DESIGN,0.10530339225991393,-0.1180735152972858,0.3104447050120665,0.10887205373793923,0.10490046476855884,91,91,0.15724272550828775,UNPOWERED,UNPOWERED
DYDXUSDT,D1,DESIGN,-0.14488636363636365,-0.3880805153440199,0.10885801510560755,0.12643999531591973,0.09786447790376288,65,65,0.1860521018838127,UNPOWERED,UNPOWERED
ETHUSDT,D1,DESIGN,0.15984857309260353,-0.037506485143098754,0.33738231504442995,0.09508614097948567,0.09151799487639142,101,101,0.14925557853149837,UNPOWERED,INDETERMINATE
GALAUSDT,D1,DESIGN,0.09141940657578178,-0.16453889775984082,0.32912956754389255,0.12448126725915983,0.1151532605395232,87,87,0.1608168802256692,UNPOWERED,UNPOWERED
INJUSDT,D1,DESIGN,0.044076655052264914,-0.27022235128103067,0.35525938550248365,0.1588358775757942,0.1155577400764024,41,41,0.2342606428329091,UNPOWERED,UNPOWERED
LINKUSDT,D1,DESIGN,0.026515948459983958,-0.17855335999195926,0.21807632222019,0.10234853647924229,0.10033204881508698,98,98,0.15152288168283162,UNPOWERED,UNPOWERED
MATICUSDT,D1,DESIGN,0.2569535135151843,0.11830906647996117,0.3755231672956939,0.06532323518643138,0.05678137467234128,327,327,0.08295018954139965,SUPPORTED,SUPPORTED
OPUSDT,D1,DESIGN,0.09309549647314183,-0.1604674756085924,0.3181886227844619,0.1212298070616702,0.11779727492912788,96,96,0.15309310892394865,UNPOWERED,UNPOWERED
SOLUSDT,D1,DESIGN,0.07715783343040183,-0.12411095301021981,0.26999704070047825,0.10026724457186705,0.09835291845237704,101,101,0.14925557853149837,UNPOWERED,UNPOWERED
XRPUSDT,D1,DESIGN,0.11788619069994878,-0.09181398923161545,0.3194516171781116,0.1036414695804995,0.09967991199405384,101,101,0.14925557853149837,UNPOWERED,UNPOWERED
1000LUNCUSDT,H1,DESIGN,0.20135550604030247,0.13211914019886434,0.26306429774559,0.03290596450680834,0.032435575651573886,1019,64,0.1875,UNPOWERED,SUPPORTED
ADAUSDT,H1,DESIGN,0.2677870562761973,0.20130806233035428,0.32110012409608124,0.0305869152093704,0.028452123150762936,2376,103,0.14779939172464399,UNPOWERED,SUPPORTED
AVAXUSDT,H1,DESIGN,0.2540693149331212,0.18959666216210694,0.307571050794334,0.02999764340878482,0.028390811815433573,2187,103,0.14779939172464399,UNPOWERED,SUPPORTED
